Date Time,  Coolant Temperature, Vehicule speed, Engine RPM
01.01.0001 09:07:59,60,0,1693
01.01.0001 09:08:02,60,0,1721
01.01.0001 09:08:05,60,0,1766
01.01.0001 09:08:08,61,0,989
01.01.0001 09:08:11,61,0,797
01.01.0001 09:08:14,61,0,670
01.01.0001 09:08:17,62,0,842
01.01.0001 09:08:20,63,0,1631
01.01.0001 09:08:23,62,0,714
01.01.0001 09:08:26,62,0,576
01.01.0001 09:08:29,63,0,698
01.01.0001 09:08:32,63,0,837
01.01.0001 09:08:35,63,0,826
01.01.0001 09:08:38,64,0,1489
01.01.0001 09:08:41,64,1,970
01.01.0001 09:08:44,64,1,704
01.01.0001 09:08:48,65,4,1334
01.01.0001 09:08:51,65,2,857
01.01.0001 09:08:54,65,0,856
01.01.0001 09:08:57,65,4,1357
01.01.0001 09:09:00,66,10,1229
01.01.0001 09:09:03,66,9,1325
01.01.0001 09:09:06,66,14,1529
01.01.0001 09:09:09,66,19,2285
01.01.0001 09:09:12,67,26,1859
01.01.0001 09:09:15,68,29,2215
01.01.0001 09:09:18,68,31,1579
01.01.0001 09:09:21,69,28,1522
01.01.0001 09:09:24,70,17,950
01.01.0001 09:09:27,70,20,1375
01.01.0001 09:09:30,70,19,1464
01.01.0001 09:09:33,71,17,1258
01.01.0001 09:09:36,71,21,1462
01.01.0001 09:09:39,71,26,1885
01.01.0001 09:09:42,72,27,2055
01.01.0001 09:09:45,73,25,1901
01.01.0001 09:09:48,73,21,1683
01.01.0001 09:09:51,73,19,1407
01.01.0001 09:09:54,74,18,1468
01.01.0001 09:09:57,74,17,1277
01.01.0001 09:10:01,75,21,1536
01.01.0001 09:10:04,75,23,1701
01.01.0001 09:10:07,75,25,1895
01.01.0001 09:10:10,76,20,1670
01.01.0001 09:10:13,76,6,931
01.01.0001 09:10:16,77,6,1379
01.01.0001 09:10:19,78,11,1265
01.01.0001 09:10:22,78,16,1992
01.01.0001 09:10:25,78,22,1563
01.01.0001 09:10:28,79,28,1883
01.01.0001 09:10:31,80,31,1611
01.01.0001 09:10:34,80,35,1723
01.01.0001 09:10:37,80,32,1702
01.01.0001 09:10:40,80,34,1705
01.01.0001 09:10:43,80,36,1813
01.01.0001 09:10:46,80,34,1774
01.01.0001 09:10:49,80,37,1834
01.01.0001 09:10:52,79,31,1670
01.01.0001 09:10:55,79,30,1506
01.01.0001 09:10:58,79,34,1629
01.01.0001 09:11:01,78,33,1701
01.01.0001 09:11:04,78,33,1728
01.01.0001 09:11:07,78,34,1668
01.01.0001 09:11:10,78,37,1853
01.01.0001 09:11:14,78,36,1855
01.01.0001 09:11:17,78,27,1609
01.01.0001 09:11:20,78,10,887
01.01.0001 09:11:23,78,20,1289
01.01.0001 09:11:26,78,27,1780
01.01.0001 09:11:29,79,38,2541
01.01.0001 09:11:32,79,43,2119
01.01.0001 09:11:35,80,47,2318
01.01.0001 09:11:38,80,49,2447
01.01.0001 09:11:41,79,42,2176
01.01.0001 09:11:44,79,43,2193
01.01.0001 09:11:47,79,44,2219
01.01.0001 09:11:50,79,42,2177
01.01.0001 09:11:53,78,31,1781
01.01.0001 09:11:56,78,31,1553
01.01.0001 09:11:59,78,25,1225
01.01.0001 09:12:02,78,33,2191
01.01.0001 09:12:05,79,39,1926
01.01.0001 09:12:08,80,43,2163
01.01.0001 09:12:11,80,37,1986
01.01.0001 09:12:14,80,43,2013
01.01.0001 09:12:17,81,54,2535
01.01.0001 09:12:20,82,65,3095
01.01.0001 09:12:23,83,74,3642
01.01.0001 09:12:27,85,79,3022
01.01.0001 09:12:30,86,88,3357
01.01.0001 09:12:33,88,98,3736
01.01.0001 09:12:36,90,107,4108
01.01.0001 09:12:39,91,108,3204
01.01.0001 09:12:42,93,109,3489
01.01.0001 09:12:45,95,108,3473
01.01.0001 09:12:48,95,108,3467
01.01.0001 09:12:51,96,107,3460
01.01.0001 09:12:54,97,104,3391
01.01.0001 09:12:57,98,106,3363
01.01.0001 09:13:00,95,109,3455
01.01.0001 09:13:03,82,103,3417
01.01.0001 09:13:06,80,98,3173
01.01.0001 09:13:09,82,95,3084
01.01.0001 09:13:12,83,93,3031
01.01.0001 09:13:15,85,94,3010
01.01.0001 09:13:18,87,94,3029
01.01.0001 09:13:21,89,96,3066
01.01.0001 09:13:24,91,96,3079
01.01.0001 09:13:27,92,97,3097
01.01.0001 09:13:30,93,98,3138
01.01.0001 09:13:33,95,99,3169
01.01.0001 09:13:36,90,100,3192
01.01.0001 09:13:40,84,101,3221
01.01.0001 09:13:43,83,101,3249
01.01.0001 09:13:46,85,101,3245
01.01.0001 09:13:49,87,101,3241
01.01.0001 09:13:52,88,101,3252
01.01.0001 09:13:55,90,100,3238
01.01.0001 09:13:58,92,99,3193
01.01.0001 09:14:01,93,99,3174
01.01.0001 09:14:04,90,98,3156
01.01.0001 09:14:07,85,98,3137
01.01.0001 09:14:10,84,98,3138
01.01.0001 09:14:13,85,98,3145
01.01.0001 09:14:16,86,98,3144
01.01.0001 09:14:19,88,98,3159
01.01.0001 09:14:22,90,99,3166
01.01.0001 09:14:25,91,98,3165
01.01.0001 09:14:28,92,92,3050
01.01.0001 09:14:31,88,86,2827
01.01.0001 09:14:34,83,81,2613
01.01.0001 09:14:37,82,78,2528
01.01.0001 09:14:40,83,76,2473
01.01.0001 09:14:43,85,76,2440
01.01.0001 09:14:46,86,72,2390
01.01.0001 09:14:49,88,73,2354
01.01.0001 09:14:53,89,72,2323
01.01.0001 09:14:56,90,72,2321
01.01.0001 09:14:59,91,72,2321
01.01.0001 09:15:02,91,74,2345
01.01.0001 09:15:05,88,76,2439
01.01.0001 09:15:08,84,77,2483
01.01.0001 09:15:11,83,77,2494
01.01.0001 09:15:14,83,77,2471
01.01.0001 09:15:17,85,77,2483
01.01.0001 09:15:20,86,77,2458
01.01.0001 09:15:23,87,77,2471
01.01.0001 09:15:26,88,76,2454
01.01.0001 09:15:29,90,70,2338
01.01.0001 09:15:32,90,64,2124
01.01.0001 09:15:35,90,57,1901
01.01.0001 09:15:38,89,51,1722
01.01.0001 09:15:41,87,46,1533
01.01.0001 09:15:44,85,42,1398
01.01.0001 09:15:47,83,35,1020
01.01.0001 09:15:50,82,35,1367
01.01.0001 09:15:53,83,41,1563
01.01.0001 09:15:56,84,43,1719
01.01.0001 09:15:59,85,39,1643
01.01.0001 09:16:03,86,23,1048
01.01.0001 09:16:06,87,19,1388
01.01.0001 09:16:09,88,24,1693
01.01.0001 09:16:12,88,30,2188
01.01.0001 09:16:15,88,29,2206
01.01.0001 09:16:18,88,23,1905
01.01.0001 09:16:21,88,20,1632
01.01.0001 09:16:24,89,22,1444
01.01.0001 09:16:27,89,28,1972
01.01.0001 09:16:30,88,32,2292
01.01.0001 09:16:33,86,31,2336
01.01.0001 09:16:36,85,29,2183
01.01.0001 09:16:39,84,34,2407
01.01.0001 09:16:42,83,39,1890
01.01.0001 09:16:45,84,42,2116
01.01.0001 09:16:48,83,43,2165
01.01.0001 09:16:51,84,46,2288
01.01.0001 09:16:54,85,45,2314
01.01.0001 09:16:57,85,43,2155
01.01.0001 09:17:00,86,43,2184
01.01.0001 09:17:03,86,46,2278
01.01.0001 09:17:06,87,48,2408
01.01.0001 09:17:09,88,48,2450
01.01.0001 09:17:12,88,47,2398
01.01.0001 09:17:16,88,46,2354
01.01.0001 09:17:19,88,43,2228
01.01.0001 09:17:22,88,42,2119
01.01.0001 09:17:25,88,42,2151
01.01.0001 09:17:28,88,43,2149
01.01.0001 09:17:31,88,40,2093
01.01.0001 09:17:34,87,28,1636
01.01.0001 09:17:37,86,27,1265
01.01.0001 09:17:40,86,36,1790
01.01.0001 09:17:43,85,35,1806
01.01.0001 09:17:46,85,24,1489
01.01.0001 09:17:49,85,13,970
01.01.0001 09:17:52,85,2,951
01.01.0001 09:17:55,85,0,866
01.01.0001 09:17:58,85,0,752
01.01.0001 09:18:01,86,0,733
01.01.0001 09:18:04,86,0,748
01.01.0001 09:18:07,86,0,702
01.01.0001 09:18:10,86,0,646
01.01.0001 09:18:13,86,16,1661
01.01.0001 09:18:16,86,24,1588
01.01.0001 09:18:19,86,32,2188
01.01.0001 09:18:22,86,48,3136
01.01.0001 09:18:25,88,58,4069
01.01.0001 09:18:29,89,59,3035
01.01.0001 09:18:32,90,54,2805
01.01.0001 09:18:35,91,49,2562
01.01.0001 09:18:38,90,46,2373
01.01.0001 09:18:41,88,45,2302
01.01.0001 09:18:44,86,43,2200
01.01.0001 09:18:47,84,40,2075
01.01.0001 09:18:50,83,40,2014
01.01.0001 09:18:53,84,41,2040
01.01.0001 09:18:56,85,40,2050
01.01.0001 09:18:59,86,40,2023
01.01.0001 09:19:02,86,40,2024
01.01.0001 09:19:05,87,42,2093
01.01.0001 09:19:08,88,42,2170
01.01.0001 09:19:11,88,41,2101
01.01.0001 09:19:14,88,43,2177
01.01.0001 09:19:17,88,43,2111
01.01.0001 09:19:20,88,41,2101
01.01.0001 09:19:23,88,40,2042
01.01.0001 09:19:26,87,38,2001
01.01.0001 09:19:29,86,37,1864
01.01.0001 09:19:32,86,37,1911
01.01.0001 09:19:35,85,33,1018
01.01.0001 09:19:38,86,29,961
01.01.0001 09:19:42,86,16,907
01.01.0001 09:19:45,86,15,1006
01.01.0001 09:19:48,86,29,1910
01.01.0001 09:19:51,86,34,1630
01.01.0001 09:19:54,86,35,1792
01.01.0001 09:19:57,86,34,1728
01.01.0001 09:20:00,86,34,1718
01.01.0001 09:20:03,86,33,1777
01.01.0001 09:20:06,86,17,1000
01.01.0001 09:20:09,86,5,954
01.01.0001 09:20:12,86,0,913
01.01.0001 09:20:15,87,0,789
01.01.0001 09:20:18,88,0,728
01.01.0001 09:20:21,88,0,729
01.01.0001 09:20:24,88,0,729
01.01.0001 09:20:27,88,11,1531
01.01.0001 09:20:30,87,21,2853
01.01.0001 09:20:33,86,33,2176
01.01.0001 09:20:36,86,38,2256
01.01.0001 09:20:39,86,43,2081
01.01.0001 09:20:42,87,42,1651
01.01.0001 09:20:45,88,45,1775
01.01.0001 09:20:48,88,45,1802
01.01.0001 09:20:51,88,42,1705
01.01.0001 09:20:55,88,46,1732
01.01.0001 09:20:58,88,49,1945
01.01.0001 09:21:01,88,49,1960
01.01.0001 09:21:04,87,46,1849
01.01.0001 09:21:07,87,49,1936
01.01.0001 09:21:10,86,49,1944
01.01.0001 09:21:13,86,46,1851
01.01.0001 09:21:16,86,47,1874
01.01.0001 09:21:19,86,48,1892
01.01.0001 09:21:22,86,51,1990
01.01.0001 09:21:25,86,47,1920
01.01.0001 09:21:28,86,40,1693
01.01.0001 09:21:31,86,33,1427
01.01.0001 09:21:34,86,23,1068
01.01.0001 09:21:37,86,9,965
01.01.0001 09:21:40,86,3,922
01.01.0001 09:21:43,86,17,1728
01.01.0001 09:21:46,86,24,1548
01.01.0001 09:21:49,86,35,2398
01.01.0001 09:21:52,86,41,3152
01.01.0001 09:21:55,87,46,2230
01.01.0001 09:21:58,88,48,2416
01.01.0001 09:22:01,88,48,2459
01.01.0001 09:22:05,88,48,2458
01.01.0001 09:22:08,89,48,2418
01.01.0001 09:22:11,89,49,2478
01.01.0001 09:22:14,88,51,2524
01.01.0001 09:22:17,88,51,1919
01.01.0001 09:22:20,88,54,2102
01.01.0001 09:22:23,87,51,2117
01.01.0001 09:22:26,86,47,1938
01.01.0001 09:22:29,86,48,1872
01.01.0001 09:22:32,86,49,1967
01.01.0001 09:22:35,86,46,1909
01.01.0001 09:22:38,86,33,1351
01.01.0001 09:22:41,86,29,980
01.01.0001 09:22:44,87,33,1540
01.01.0001 09:22:47,86,39,1900
01.01.0001 09:22:50,86,42,1621
01.01.0001 09:22:53,86,42,1672
01.01.0001 09:22:56,86,21,1577
01.01.0001 09:22:59,86,0,986
01.01.0001 09:23:02,86,4,1254
01.01.0001 09:23:05,86,19,2399
01.01.0001 09:23:08,86,32,2131
01.01.0001 09:23:11,86,34,1720
01.01.0001 09:23:14,86,32,1688
01.01.0001 09:23:18,86,26,1232
01.01.0001 09:23:21,86,12,954
01.01.0001 09:23:24,86,0,939
01.01.0001 09:23:27,87,0,786
01.01.0001 09:23:30,88,5,1622
01.01.0001 09:23:33,87,16,2076
01.01.0001 09:23:36,87,25,1706
01.01.0001 09:23:39,87,31,2305
01.01.0001 09:23:42,86,27,2192
01.01.0001 09:23:45,86,18,1022
01.01.0001 09:23:48,86,18,1395
01.01.0001 09:23:51,87,19,1349
01.01.0001 09:23:54,87,26,1740
01.01.0001 09:23:57,87,33,2156
01.01.0001 09:24:00,88,35,1758
01.01.0001 09:24:03,88,33,1718
01.01.0001 09:24:06,88,31,1624
01.01.0001 09:24:09,88,21,1021
01.01.0001 09:24:12,88,14,929
01.01.0001 09:24:15,88,19,1227
01.01.0001 09:24:18,88,28,1884
01.01.0001 09:24:21,87,34,1624
01.01.0001 09:24:24,87,36,1860
01.01.0001 09:24:27,86,36,1790
01.01.0001 09:24:31,86,39,1927
01.01.0001 09:24:34,86,40,1529
01.01.0001 09:24:37,86,42,1656
01.01.0001 09:24:40,86,39,1599
01.01.0001 09:24:43,86,35,1473
01.01.0001 09:24:46,86,34,1326
01.01.0001 09:24:49,86,30,1271
01.01.0001 09:24:52,86,15,1072
01.01.0001 09:24:55,86,2,937
01.01.0001 09:24:58,87,0,728
01.01.0001 09:25:01,87,0,1182
01.01.0001 09:25:04,87,1,1040
01.01.0001 09:25:07,87,14,1540
01.01.0001 09:25:10,86,21,1388
01.01.0001 09:25:13,86,22,1605
01.01.0001 09:25:16,86,23,1791
01.01.0001 09:25:19,86,18,1094
01.01.0001 09:25:22,87,9,922
01.01.0001 09:25:25,88,0,932
01.01.0001 09:25:28,88,0,762
01.01.0001 09:25:31,88,0,759
01.01.0001 09:25:34,88,6,1333
01.01.0001 09:25:37,88,20,2574
01.01.0001 09:25:41,88,32,2124
01.01.0001 09:25:44,88,38,1798
01.01.0001 09:25:47,88,45,2171
01.01.0001 09:25:50,89,48,1836
01.01.0001 09:25:53,90,48,1953
01.01.0001 09:25:56,89,48,1914
01.01.0001 09:25:59,88,49,1953
01.01.0001 09:26:02,87,51,2002
01.01.0001 09:26:05,86,52,2072
01.01.0001 09:26:08,86,51,2036
01.01.0001 09:26:11,86,47,1923
01.01.0001 09:26:14,86,41,1703
01.01.0001 09:26:17,86,34,1437
01.01.0001 09:26:20,86,22,967
01.01.0001 09:26:23,86,14,979
01.01.0001 09:26:26,86,6,1066
01.01.0001 09:26:29,86,6,1332
01.01.0001 09:26:32,85,3,964
01.01.0001 09:26:35,85,0,909
01.01.0001 09:26:38,85,0,802
01.01.0001 09:26:41,86,0,750
01.01.0001 09:26:44,86,3,1628
01.01.0001 09:26:47,86,3,950
01.01.0001 09:26:50,86,1,943
01.01.0001 09:26:54,86,0,865
01.01.0001 09:26:57,87,0,749
01.01.0001 09:27:00,-40,0,246
