###############################################################
Date Time: 20.03.2011 18:37:44
Device Description: SCANTOOL.NET LLC
Version ID: ELM327 v1.2a
Protocol: AUTO, ISO 14230-4 (KWP FAST)
Battery Voltatage: 14.2V
###############################################################
Date Time,  Coolant Temperature, Vehicule speed, Engine RPM
20.03.2011 18:37:44,23,0,1581
20.03.2011 18:37:46,23,0,1577
20.03.2011 18:37:48,23,0,1597
20.03.2011 18:37:49,24,0,1600
20.03.2011 18:37:51,25,0,1599
20.03.2011 18:37:52,25,0,1596
20.03.2011 18:37:54,25,0,1085
20.03.2011 18:37:55,25,0,1108
20.03.2011 18:37:57,25,0,1070
20.03.2011 18:37:58,26,0,1038
20.03.2011 18:38:00,26,0,891
20.03.2011 18:38:01,26,0,939
20.03.2011 18:38:03,27,0,1027
20.03.2011 18:38:04,27,0,936
20.03.2011 18:38:06,28,0,973
20.03.2011 18:38:07,28,0,940
20.03.2011 18:38:09,28,0,833
20.03.2011 18:38:10,29,0,794
20.03.2011 18:38:12,30,0,933
20.03.2011 18:38:14,30,0,934
20.03.2011 18:38:15,30,0,931
20.03.2011 18:38:17,31,0,946
20.03.2011 18:38:18,31,0,900
20.03.2011 18:38:20,31,0,922
20.03.2011 18:38:22,31,0,917
20.03.2011 18:38:23,31,0,898
20.03.2011 18:38:25,31,0,902
20.03.2011 18:38:26,32,0,896
20.03.2011 18:38:28,32,0,884
20.03.2011 18:38:29,33,0,868
20.03.2011 18:38:31,33,0,853
20.03.2011 18:38:32,33,0,878
20.03.2011 18:38:34,33,0,877
20.03.2011 18:38:35,33,0,843
20.03.2011 18:38:37,33,0,851
20.03.2011 18:38:38,34,0,863
20.03.2011 18:38:40,34,0,871
20.03.2011 18:38:41,35,0,874
20.03.2011 18:38:43,35,0,894
20.03.2011 18:38:44,35,0,1429
20.03.2011 18:38:46,35,1,1154
20.03.2011 18:38:47,35,2,1064
20.03.2011 18:38:49,36,1,1155
20.03.2011 18:38:50,36,2,1534
20.03.2011 18:38:52,36,2,1199
20.03.2011 18:38:54,36,3,849
20.03.2011 18:38:55,36,2,872
20.03.2011 18:38:57,37,3,912
20.03.2011 18:38:58,37,2,966
20.03.2011 18:39:00,38,0,945
20.03.2011 18:39:01,38,0,1663
20.03.2011 18:39:03,38,5,1480
20.03.2011 18:39:04,39,9,1328
20.03.2011 18:39:06,39,11,1466
20.03.2011 18:39:07,40,11,1612
20.03.2011 18:39:09,40,6,1005
20.03.2011 18:39:10,40,2,974
20.03.2011 18:39:12,40,1,940
20.03.2011 18:39:13,40,0,935
20.03.2011 18:39:15,40,0,887
20.03.2011 18:39:16,41,2,1540
20.03.2011 18:39:18,41,9,1565
20.03.2011 18:39:19,41,16,2011
20.03.2011 18:39:21,42,21,2677
20.03.2011 18:39:22,42,22,1964
20.03.2011 18:39:24,42,27,1927
20.03.2011 18:39:25,43,31,2258
20.03.2011 18:39:27,43,34,2519
20.03.2011 18:39:29,44,33,1713
20.03.2011 18:39:30,45,34,1741
20.03.2011 18:39:32,45,30,1602
20.03.2011 18:39:33,45,26,1404
20.03.2011 18:39:35,46,20,1179
20.03.2011 18:39:36,46,16,982
20.03.2011 18:39:38,46,18,1261
20.03.2011 18:39:39,47,22,1607
20.03.2011 18:39:41,47,22,1656
20.03.2011 18:39:42,48,20,1526
20.03.2011 18:39:44,48,17,1418
20.03.2011 18:39:45,48,15,1187
20.03.2011 18:39:47,48,18,1262
20.03.2011 18:39:48,48,21,1497
20.03.2011 18:39:50,49,23,1669
20.03.2011 18:39:51,49,24,1800
20.03.2011 18:39:53,50,25,1844
20.03.2011 18:39:54,50,24,1857
20.03.2011 18:39:56,50,22,1723
20.03.2011 18:39:57,50,20,1551
20.03.2011 18:39:59,51,19,1428
20.03.2011 18:40:01,51,17,1328
20.03.2011 18:40:02,51,15,1160
20.03.2011 18:40:04,51,13,1057
20.03.2011 18:40:05,52,12,1064
20.03.2011 18:40:07,52,11,920
20.03.2011 18:40:08,52,11,832
20.03.2011 18:40:10,53,14,964
20.03.2011 18:40:11,53,17,1201
20.03.2011 18:40:13,53,19,1361
20.03.2011 18:40:14,53,20,1437
20.03.2011 18:40:16,54,13,1228
20.03.2011 18:40:17,54,3,942
20.03.2011 18:40:19,54,0,890
20.03.2011 18:40:20,54,0,1658
20.03.2011 18:40:22,55,1,1589
20.03.2011 18:40:23,55,3,1430
20.03.2011 18:40:25,55,8,1559
20.03.2011 18:40:26,55,15,1827
20.03.2011 18:40:28,56,18,1672
20.03.2011 18:40:29,56,22,1607
20.03.2011 18:40:31,56,23,1641
20.03.2011 18:40:32,56,25,1784
20.03.2011 18:40:34,57,22,1766
20.03.2011 18:40:36,58,18,1415
20.03.2011 18:40:37,58,13,1145
20.03.2011 18:40:39,58,8,1593
20.03.2011 18:40:40,59,7,1430
20.03.2011 18:40:42,59,7,1314
20.03.2011 18:40:43,60,8,1045
20.03.2011 18:40:45,60,12,1589
20.03.2011 18:40:46,60,13,1837
20.03.2011 18:40:48,60,7,974
20.03.2011 18:40:49,61,9,1420
20.03.2011 18:40:51,61,14,1818
20.03.2011 18:40:52,61,16,2131
20.03.2011 18:40:54,61,21,1416
20.03.2011 18:40:55,62,27,1856
20.03.2011 18:40:57,62,31,2276
20.03.2011 18:40:58,63,32,1589
20.03.2011 18:41:00,63,34,1731
20.03.2011 18:41:01,63,35,1774
20.03.2011 18:41:03,64,36,1834
20.03.2011 18:41:04,64,35,1809
20.03.2011 18:41:06,64,35,1767
20.03.2011 18:41:07,64,33,1682
20.03.2011 18:41:09,64,35,1724
20.03.2011 18:41:11,64,39,1909
20.03.2011 18:41:12,64,42,2088
20.03.2011 18:41:14,64,36,1941
20.03.2011 18:41:15,64,32,1632
20.03.2011 18:41:17,64,32,1623
20.03.2011 18:41:18,64,32,1590
20.03.2011 18:41:20,64,32,1617
20.03.2011 18:41:21,64,30,1540
20.03.2011 18:41:23,64,32,1531
20.03.2011 18:41:24,63,35,1748
20.03.2011 18:41:26,63,36,1841
20.03.2011 18:41:27,63,34,1730
20.03.2011 18:41:29,64,33,1688
20.03.2011 18:41:30,64,33,1672
20.03.2011 18:41:32,64,34,1734
20.03.2011 18:41:33,64,36,1763
20.03.2011 18:41:35,64,38,1881
20.03.2011 18:41:36,64,37,1900
20.03.2011 18:41:38,64,35,1838
20.03.2011 18:41:39,64,32,1631
20.03.2011 18:41:41,64,29,1555
20.03.2011 18:41:42,64,22,940
20.03.2011 18:41:44,64,16,814
20.03.2011 18:41:46,64,11,827
20.03.2011 18:41:47,64,4,819
20.03.2011 18:41:49,64,1,840
20.03.2011 18:41:50,64,0,825
20.03.2011 18:41:52,64,1,912
20.03.2011 18:41:53,65,9,1302
20.03.2011 18:41:55,65,11,1045
20.03.2011 18:41:56,65,11,888
20.03.2011 18:41:58,65,17,1632
20.03.2011 18:41:59,65,22,1580
20.03.2011 18:42:01,65,26,1863
20.03.2011 18:42:02,66,30,2190
20.03.2011 18:42:04,66,33,1684
20.03.2011 18:42:05,66,36,1776
20.03.2011 18:42:07,66,39,1919
20.03.2011 18:42:08,66,39,1942
20.03.2011 18:42:10,67,40,2028
20.03.2011 18:42:11,67,42,2097
20.03.2011 18:42:13,67,43,2175
20.03.2011 18:42:14,67,44,2223
